Valid from,Valid until,Code,Text
01-01-1600,31-12-9999,516910,Store Detective work
01-01-1600,31-12-9999,516920,Security Work
01-01-1600,31-12-9999,516930,rescue Work
01-01-1600,31-12-9999,"520,000",Retail sales and model work
01-01-1600,31-12-9999,521000,modeling
01-01-1600,31-12-9999,522000,Retail sales and demonstration work
01-01-1600,31-12-9999,522010,Cash Clerk Working
01-01-1600,31-12-9999,522020,demonstration Work
01-01-1600,31-12-9999,522030,clerk Working
01-01-1600,31-12-9999,522040,Merchandising
01-01-1600,31-12-9999,600000,"Work in agriculture, horticulture, forestry, hunting and fishing"
01-01-1600,31-12-9999,610000,"Work in agriculture, horticulture, forestry, hunting and fishing"
01-01-1600,31-12-9999,611000,Work in plant growth
01-01-1600,31-12-9999,611100,Working with arable crops on agriculture
01-01-1600,31-12-9999,611200,Gardening
01-01-1600,31-12-9999,611210,Production and growth house gardening (2003 fruit and vegetable crop)
01-01-1600,31-12-9999,611220,2003 breeding of flowers and plants
01-01-1600,31-12-9999,611230,Anlægsgartner Work
01-01-1600,31-12-9999,611290,Gardening work by the way
01-01-1600,31-12-9999,612000,Working with live animals
01-01-1600,31-12-9999,612100,Working with domestic animals except poultry
01-01-1600,31-12-9999,612200,Working with poultry farming
01-01-1600,31-12-9999,612900,Working with animals by the way
01-01-1600,31-12-9999,613000,"Work with arable crops as well as domestic animals, eg as a farmer"
01-01-1600,31-12-9999,614000,forestry Work
01-01-1600,31-12-9999,614100,forestry Work
01-01-1600,31-12-9999,614200,kulsvierarbejde
01-01-1600,31-12-9999,615000,Fishing and hunting
01-01-1600,31-12-9999,615100,"Working with breeding of fish, oysters etc"
01-01-1600,31-12-9999,615200,Inshore
01-01-1600,31-12-9999,615300,Sea fishing
01-01-1600,31-12-9999,615400,hunting
01-01-1600,31-12-9999,700000,Craftsmanship
01-01-1600,31-12-9999,710000,Work with raw material extraction and building crafts
01-01-1600,31-12-9999,711000,Mining and quarrying
01-01-1600,31-12-9999,711100,Mining and quarrying
01-01-1600,31-12-9999,711200,miners
01-01-1600,31-12-9999,711300,Stonemason Work
01-01-1600,31-12-9999,712000,Building work (basis)
01-01-1600,31-12-9999,712100,Building work with natural materials
01-01-1600,31-12-9999,712200,Masonry and paving work
01-01-1600,31-12-9999,712210,"Masonry work, excl. assistants"
01-01-1600,31-12-9999,712220,"Paving work, excl. assistants"
01-01-1600,31-12-9999,712300,"Concrete, cement and terrazzo work"
01-01-1600,31-12-9999,712310,"Manufacture of log houses and fittings, excl. assistants"
01-01-1600,31-12-9999,712320,"Bridge building and building of similar concrete structures, excl. assistants"
01-01-1600,31-12-9999,712330,Terrazzoarbejde
01-01-1600,31-12-9999,712400,Carpenters and carpenters
01-01-1600,31-12-9999,712410,Carpenters and carpentry construction
01-01-1600,31-12-9999,712420,Manufacture and repair of ships in wood
01-01-1600,31-12-9999,712430,Carpenters and carpenters (industrial processing without machines)
01-01-1600,31-12-9999,712900,Other construction work
01-01-1600,31-12-9999,712910,Manufacture of building structures in steel
01-01-1600,31-12-9999,712930,Installation and removal of scaffolding
01-01-1600,31-12-9999,712990,Other construction work
01-01-1600,31-12-9999,713000,Building work (finish)
01-01-1600,31-12-9999,713100,Roofing work
01-01-1600,31-12-9999,713200,"Flooring, floor maintenance and the like"
01-01-1600,31-12-9999,713300,Stukkatørarbejde
01-01-1600,31-12-9999,713400,insulation work
01-01-1600,31-12-9999,713500,Glazing
01-01-1600,31-12-9999,713600,Plumbing work
01-01-1600,31-12-9999,713700,electrician Working
01-01-1600,31-12-9999,713900,"Other building crafts, eg kitchen installation"
01-01-1600,31-12-9999,714000,Painting and building cleaning
01-01-1600,31-12-9999,714100,Painting and wallpaper work
01-01-1600,31-12-9999,714110,Building painter and wallpaper work
01-01-1600,31-12-9999,714120,Ship Painting
01-01-1600,31-12-9999,714130,Sign Painting
01-01-1600,31-12-9999,714190,Other painting
01-01-1600,31-12-9999,714200,Spray Paint Work
01-01-1600,31-12-9999,714300,Building Cleaning Work
01-01-1600,31-12-9999,714310,Sweeping
01-01-1600,31-12-9999,714320,Chemical cleaning and sandblasting of surfaces
01-01-1600,31-12-9999,720000,Metal and machine work
01-01-1600,31-12-9999,721000,Welding and other metal processing and scuba diving
01-01-1600,31-12-9999,721100,forming Work
01-01-1600,31-12-9999,721200,welding
01-01-1600,31-12-9999,721300,Thin sheet metal work
01-01-1600,31-12-9999,721400,Steel construction work
01-01-1600,31-12-9999,721500,Rigger and cable wiring work
01-01-1600,31-12-9999,721600,Diving related repair etc.
01-01-1600,31-12-9999,722000,"Groceries, tool making etc."
01-01-1600,31-12-9999,722100,Blacksmith work
01-01-1600,31-12-9999,722200,Toolsmith and claysmith work
01-01-1600,31-12-9999,722300,Mechanical precision work in metal and setting of metal processing machines
01-01-1600,31-12-9999,722400,Polishing and grinding work in metal
01-01-1600,31-12-9999,723000,Mechanic and fitter work
01-01-1600,31-12-9999,723100,Automotive mechanics and automotive engineering
01-01-1600,31-12-9999,723110,"Automotive mechanics, passenger and vans"
01-01-1600,31-12-9999,723120,"Automotive mechanics, lorries"
01-01-1600,31-12-9999,723190,Automotive mechanics and automotive engineering work
01-01-1600,31-12-9999,723200,Aircraft mechanics and aircraft construction work
01-01-1600,31-12-9999,723300,"Mechanic and fitter work, other engines, machines and installations"
01-01-1600,31-12-9999,723310,Refrigeration engineers Work
01-01-1600,31-12-9999,723390,Mechanical and fitting work in general
01-01-1600,31-12-9999,724000,Electro? and electronics mechanics etc.
01-01-1600,31-12-9999,724100,Electro Mechanic Work
01-01-1600,31-12-9999,724200,Montage work electronics
01-01-1600,31-12-9999,724300,Electronic Engineer Work
01-01-1600,31-12-9999,724400,Telephone and telegraph mechanics
01-01-1600,31-12-9999,724500,Cable Installer Work
01-01-1600,31-12-9999,730000,"Precision craft, graphic work, etc."
01-01-1600,31-12-9999,731000,Precision craft in metal and other materials
01-01-1600,31-12-9999,731100,"Fine mechanical work, etc."
01-01-1600,31-12-9999,731110,Instrument and watchmaking etc.
01-01-1600,31-12-9999,731120,Manufacture of orthopedic aids
01-01-1600,31-12-9999,731130,Dental Technician Work
01-01-1600,31-12-9999,731200,Musical instruments and voice work
01-01-1600,31-12-9999,731300,"Jewelery, gold and silversmiths"
01-01-1600,31-12-9999,732000,"Glass, ceramic and tile work"
01-01-1600,31-12-9999,732100,"Pottery, turning and molding"
01-01-1600,31-12-9999,732200,Glass Blower Work
01-01-1600,31-12-9999,732300,Glass etching and sandblasting
01-01-1600,31-12-9999,732400,Glass and porcelain painting work
01-01-1600,31-12-9999,733000,"Handicraft in wood, textile, etc."
01-01-1600,31-12-9999,733100,"Woodwork in wood, etc. Material"
01-01-1600,31-12-9999,733200,Handicraft in textile and leather
01-01-1600,31-12-9999,734000,"Moldmaking, handbook binding and screen printing"
01-01-1600,31-12-9999,734100,Graphic design
01-01-1600,31-12-9999,734200,Stereotype and electrotype work
01-01-1600,31-12-9999,734300,Engraving and etching work
01-01-1600,31-12-9999,734400,"Other phototechnical work, eg film production"
01-01-1600,31-12-9999,734410,2003 Repository work
01-01-1600,31-12-9999,734490,2003 Second Photographic work (dark chamber work)
01-01-1600,31-12-9999,734500,Manual Binding
01-01-1600,31-12-9999,734600,Serigraphic work
01-01-1600,31-12-9999,740000,Other craftsmanship
01-01-1600,31-12-9999,741000,Work in the food and beverage industry
01-01-1600,31-12-9999,741100,Butchering and processing of fish
01-01-1600,31-12-9999,741110,"Fishing filetation, hand filetering"
01-01-1600,31-12-9999,741120,Processing of shellfish
01-01-1600,31-12-9999,741130,Røgearbejde
01-01-1600,31-12-9999,741140,Slaughter work relating to store ol
01-01-1600,31-12-9999,741200,"Bakery, confectionery and chocolate work"
01-01-1600,31-12-9999,741300,dairy Work
01-01-1600,31-12-9999,741400,Preservation of fruit and vegetables as well as juice preparation
01-01-1600,31-12-9999,741500,Tasting Work
01-01-1600,31-12-9999,741600,Tobacco Production Work
01-01-1600,31-12-9999,742000,Træindustriarbejde
01-01-1600,31-12-9999,742100,Træimprægneringsarbejde
01-01-1600,31-12-9999,742200,Bedding and furniture joinery
01-01-1600,31-12-9999,742300,Construction and operation of machinery in the wood industry
01-01-1600,31-12-9999,742400,"Basketmaker and brushbinder work, etc."
01-01-1600,31-12-9999,743000,Textile and clothing work
01-01-1600,31-12-9999,743100,Yarn preparatory work (hand work)
01-01-1600,31-12-9999,743200,"Spinning, weaving and knitting work (handwork)"
01-01-1600,31-12-9999,743300,"Tailoring, fashion and hatmakers"
01-01-1600,31-12-9999,743400,Buntmagerarbejde
01-01-1600,31-12-9999,743500,Cutting work (not machine)
01-01-1600,31-12-9999,743600,Sewing and embroidery work (not machine)
01-01-1600,31-12-9999,743700,"Furniture poles, car seat mechanics"
01-01-1600,31-12-9999,744000,"Leather, leather and footwear work"
01-01-1600,31-12-9999,744100,Tanning
01-01-1600,31-12-9999,744200,Shoemaker and leatherwork
01-01-1600,31-12-9999,800000,Process and machine operator work as well as transportation work
01-01-1600,31-12-9999,810000,Work with stationary processors
01-01-1600,31-12-9999,811000,Mine and mineral extraction works
01-01-1600,31-12-9999,811100,My Work
01-01-1600,31-12-9999,811200,"Mining and quarrying, excl. heat treatment plant"
01-01-1600,31-12-9999,811300,"Oil, gas and other drilling plants"
01-01-1600,31-12-9999,812000,Iron and metal works and foundry work
01-01-1600,31-12-9999,812100,furnace work
01-01-1600,31-12-9999,812200,Steel Mill Work
01-01-1600,31-12-9999,812300,Foundry Work
01-01-1600,31-12-9999,812400,Wire and wire drawing
01-01-1600,31-12-9999,813000,"Glass, ceramic and brickwork construction work"
01-01-1600,31-12-9999,813100,Operator at glass and ceramic ovens
01-01-1600,31-12-9999,813900,"Other process operators in glass, ceramic and brick production"
01-01-1600,31-12-9999,814000,Wood and paperwork work
01-01-1600,31-12-9999,814100,Processing of wood for further processing
01-01-1600,31-12-9999,814200,Operator at Pulp Processing Plant
01-01-1600,31-12-9999,814300,Operator at papermaking plant
01-01-1600,31-12-9999,815000,Chemical process work
01-01-1600,31-12-9999,815100,"Crushing, mixing and process work etc."
01-01-1600,31-12-9999,815200,Operator at thermal treatment plants in the chemical and mineral industry
01-01-1600,31-12-9999,815300,Operator at filtration and separation plants
01-01-1600,31-12-9999,815400,Destilleringsarbejde
01-01-1600,31-12-9999,815500,Petrol and natural gas refining
01-01-1600,31-12-9999,815900,Other process operator work
01-01-1600,31-12-9999,816000,Energy and water supply
01-01-1600,31-12-9999,816100,Power Plant Operator Work
01-01-1600,31-12-9999,816200,Boiler Care
01-01-1600,31-12-9999,816300,Operator at incineration and water supply plants
01-01-1600,31-12-9999,817000,Industrial Robot Operators
01-01-1600,31-12-9999,820000,Operation of industrial machines
01-01-1600,31-12-9999,821000,Operation of machinery in the metal and mineral industry
01-01-1600,31-12-9999,821100,Operation of metal processing machines
01-01-1600,31-12-9999,821200,Operation of machinery in the mineral industry
01-01-1600,31-12-9999,822000,Operation of machinery in the chemical industry
01-01-1600,31-12-9999,822100,"Operation of machinery in the pharmaceutical, soap and cosmetics industries"
01-01-1600,31-12-9999,822200,Operation of machines for ammunition and gunpowder production
01-01-1600,31-12-9999,822300,Operation of machines by electroplating and industrial roofing
01-01-1600,31-12-9999,822400,Operation of machines for the production of photographic articles
01-01-1600,31-12-9999,822900,Operation of machinery for other chemical work
01-01-1600,31-12-9999,823000,Operation of machinery in the rubber and plastic industry
01-01-1600,31-12-9999,823100,Operation of machinery in the rubber industry
01-01-1600,31-12-9999,823200,Operation of machinery in the plastics industry
01-01-1600,31-12-9999,823210,Operation of machines for the production of plastics
01-01-1600,31-12-9999,823220,Operation of machinery for the production of plastic products
01-01-1600,31-12-9999,824000,Operation of machines related to finished products in wood
01-01-1600,31-12-9999,825000,Operation of machinery in the graphic and paper industry
01-01-1600,31-12-9999,825100,Operation of printing machines
01-01-1600,31-12-9999,825110,"Printing machines, sheets"
01-01-1600,31-12-9999,825120,"Operation of printing machines, rotation"
01-01-1600,31-12-9999,825130,"Printing machines, digital printing and printing"
01-01-1600,31-12-9999,825200,Operation of bookbinder machines
01-01-1600,31-12-9999,825300,Operation of paperwork machines
01-01-1600,31-12-9999,826000,"Operation of machinery in the textile, leather and leather industry"
01-01-1600,31-12-9999,826100,"Operation of machines in yarn preparation work, spinning work"
01-01-1600,31-12-9999,826200,Operation of weaving and knitting machines
01-01-1600,31-12-9999,826300,Operation of sewing machines
01-01-1600,31-12-9999,826400,Operation of post-treatment machines
01-01-1600,31-12-9999,826500,Operation of machines for tanning and fur preparation
01-01-1600,31-12-9999,826600,Operation of shoe manufacturing machines
01-01-1600,31-12-9999,826900,"Operation of other machines in the textile, leather and leather industry"
01-01-1600,31-12-9999,826910,Machine cutting of textile products
01-01-1600,31-12-9999,826920,Operation of rowing machines
01-01-1600,31-12-9999,826930,Operation of vod binding machines
01-01-1600,31-12-9999,826940,Operation of leather machines excl. shoe production
01-01-1600,31-12-9999,826990,"Other machine work in the textile, leather and leather industry"
01-01-1600,31-12-9999,827000,Operation of machinery in the food and beverage industry
01-01-1600,31-12-9999,827100,"Industrialization, mechanical processing of raw materials in the fishing industry, etc."
01-01-1600,31-12-9999,827110,"Industrial slaughterhouse processing, processing of raw materials (excluding poultry)"
01-01-1600,31-12-9999,827120,"Poultry processing, raw materials processing"
01-01-1600,31-12-9999,827130,Machinery processing of raw materials in the fishing industry
01-01-1600,31-12-9999,827140,"Finished produce, meat, poultry and fish products"
01-01-1600,31-12-9999,827200,Operation of machinery in dairy production
01-01-1600,31-12-9999,827300,Operation of machines on mills
01-01-1600,31-12-9999,827400,Operation of bakery and sugar production machinery
01-01-1600,31-12-9999,827500,Operation of machinery for fruit and vegetable preservation and margarine production
01-01-1600,31-12-9999,827600,Operation of machinery in sugar production
01-01-1600,31-12-9999,827700,"Operation of machines for tea, coffee and cakes production"
01-01-1600,31-12-9999,827800,Operation of machines in brewery production
01-01-1600,31-12-9999,827900,Operation of machinery in the tobacco industry
01-01-1600,31-12-9999,828000,Assembly and assembly work
01-01-1600,31-12-9999,828100,Installation of mechanical machines
01-01-1600,31-12-9999,828200,Installation of electrical equipment
01-01-1600,31-12-9999,828300,Installation of electronic equipment
01-01-1600,31-12-9999,828400,"Assembly and assembly work in metal, rubber and plastic production"
01-01-1600,31-12-9999,828500,Assembly and assembly work in wood production
01-01-1600,31-12-9999,828600,"Bonding work in paper, textile and similar production"
01-01-1600,31-12-9999,828700,Other assembly and assembly work
01-01-1600,31-12-9999,829000,Operation of other machines and quality control of goods in production
01-01-1600,31-12-9999,829010,Machine packing and marking
01-01-1600,31-12-9999,829020,Checking goods before machining
01-01-1600,31-12-9999,829030,Checking goods after machining
01-01-1600,31-12-9999,829090,Operation of other machines
01-01-1600,31-12-9999,830000,Transport and construction work
01-01-1600,31-12-9999,831000,Jernbanedrift
01-01-1600,31-12-9999,831100,Locomotive and electrical engineering work
01-01-1600,31-12-9999,831200,Valet and ranger work
01-01-1600,31-12-9999,831210,Valet and ranger work
01-01-1600,31-12-9999,832000,driver Work
01-01-1600,31-12-9999,832100,Motorcycle Bude
01-01-1600,31-12-9999,832200,Vans and vans drivers
01-01-1600,31-12-9999,832210,Hyrevogne drivers and other passenger transport
01-01-1600,31-12-9999,832220,Hyrevognschaufförer med godstransport
01-01-1600,31-12-9999,832230,"Vans with dangerous goods, national transport"
01-01-1600,31-12-9999,832240,"Vans with dangerous goods, international transport"
01-01-1600,31-12-9999,832250,Vrachtwagenchauffeurs with moving tasks
01-01-1600,31-12-9999,832260,Vans drivers with renovation tasks
01-01-1600,31-12-9999,832270,Vrachtwagenchauffeurs with sales and representation tasks
01-01-1600,31-12-9999,832280,"Other vans, national transport"
01-01-1600,31-12-9999,832290,"Other vans, international transport"
01-01-1600,31-12-9999,832300,Bus drivers
01-01-1600,31-12-9999,832310,"Bus drivers, national regular service"
01-01-1600,31-12-9999,832320,"Bus drivers, national tourist"
01-01-1600,31-12-9999,832330,"Bus drivers, international airline"
01-01-1600,31-12-9999,832340,"Bus drivers, international tourist"
01-01-1600,31-12-9999,832400,Cargo and tanker drivers
01-01-1600,31-12-9999,832410,"Cargo and tanker drivers with dangerous goods, national transport"
01-01-1600,31-12-9999,832420,"Cargo and tanker drivers with dangerous goods, international transport"
01-01-1600,31-12-9999,832430,Cargo and tankers with moving tasks
01-01-1600,31-12-9999,832440,Cargo and tankers with renovation tasks
01-01-1600,31-12-9999,832450,Trucks and tankers with sales and representation tasks
01-01-1600,31-12-9999,832460,"Other cargo and tankers, national transport"
01-01-1600,31-12-9999,832470,"Other cargo and tankers, international transport"
01-01-1600,31-12-9999,833000,Work with other mobile machines and vehicles
01-01-1600,31-12-9999,833100,Agricultural Machinery Drivers
01-01-1600,31-12-9999,833200,Construction Machine Operators
01-01-1600,31-12-9999,833300,Crane and lifting work
01-01-1600,31-12-9999,833310,Crane drivers at stationary cranes
01-01-1600,31-12-9999,833320,Crane and lift lifts for mobile cranes and lifts
01-01-1600,31-12-9999,833400,Truck Drivers
01-01-1600,31-12-9999,834000,Tire work and auxiliary work aboard ships
01-01-1600,31-12-9999,900000,Other work
01-01-1600,31-12-9999,910000,"Cleaning and renovation work, bidding and watch service, telephone and door sales etc."
01-01-1600,31-12-9999,911000,Sales and service from street or phone
01-01-1600,31-12-9999,911300,sales and service from street or telephone
01-01-1600,31-12-9999,911310,Door and telephone sales
01-01-1600,31-12-9999,911320,"Interview work regarding studies, including personal inquiries"
01-01-1600,31-12-9999,912000,Shoe cleaning and street service
01-01-1600,31-12-9999,913000,Cleaning and kitchen aid work
01-01-1600,31-12-9999,913100,Cleaning and kitchen assistance in private homes
01-01-1600,31-12-9999,913200,"Cleaning, kitchen aid etc. (not private homes)"
01-01-1600,31-12-9999,913210,Cleaning of offices and residential areas
01-01-1600,31-12-9999,913220,"Cleaning in hospitals, etc."
01-01-1600,31-12-9999,913230,"Cleaning of factory premises, etc."
01-01-1600,31-12-9999,913240,Aid in the kitchen
01-01-1600,31-12-9999,913245,"Wastes in restaurants, etc."
01-01-1600,31-12-9999,913250,Preparation of rooms in hotels ol
01-01-1600,31-12-9999,913260,"Cleaning of passenger areas in airplanes, trains and buses"
01-01-1600,31-12-9999,913270,"Service assistant work, cross-service tasks, etc."
01-01-1600,31-12-9999,913300,Washing and dry cleaning
01-01-1600,31-12-9999,914000,Maintenance of buildings and installations and window cleaning etc.
01-01-1600,31-12-9999,914100,Property services and petting work
01-01-1600,31-12-9999,914111,Property Services Assistant Work
01-01-1600,31-12-9999,914112,Work as a farmer etc.
01-01-1600,31-12-9999,914113,"Pedigree work in schools, etc."
01-01-1600,31-12-9999,914200,Window cleaning and car preparation
01-01-1600,31-12-9999,914210,Window Cleaning
01-01-1600,31-12-9999,914220,Cleaning and preparation of cars
01-01-1600,31-12-9999,915000,"Courier service, guard work and meter reading etc."
01-01-1600,31-12-9999,915100,"Bude, dragers etc."
01-01-1600,31-12-9999,915200,"Door guards, ticketing and supervision etc."
01-01-1600,31-12-9999,915300,"Meter reading, auto exhaustion"
01-01-1600,31-12-9999,916000,Renovation work excl. driving of refuse trucks
01-01-1600,31-12-9999,916100,renovation work
01-01-1600,31-12-9999,916200,"Street enthusiasts, snowshoeing etc."
01-01-1600,31-12-9999,920000,"Aid in agriculture, horticulture, fisheries and forestry"
01-01-1600,31-12-9999,921000,"Aid in agriculture, horticulture, fisheries and forestry"
01-01-1600,31-12-9999,921100,"Agricultural and horticultural aid work, fruit picking work"
01-01-1600,31-12-9999,921200,Aid for forestry
01-01-1600,31-12-9999,921300,"Assistance in fishing industry on land, as well as assistance in hunting, etc."
01-01-1600,31-12-9999,930000,"Manual work in the construction, manufacturing and transport sectors"
01-01-1600,31-12-9999,931000,Manual work in the construction sector
01-01-1600,31-12-9999,931100,Mining and quarrying
01-01-1600,31-12-9999,931200,Construction work
01-01-1600,31-12-9999,931210,tarmac work
01-01-1600,31-12-9999,931220,Assistance in the case of fencing work
01-01-1600,31-12-9999,931230,Cabelguy
01-01-1600,31-12-9999,931240,Installation of air lines
01-01-1600,31-12-9999,931290,"Soil, sewage and other construction work"
01-01-1600,31-12-9999,931300,"Building work, assistance"
01-01-1600,31-12-9999,931310,Insulation work without special qualifications
01-01-1600,31-12-9999,931320,Roofing work without special qualifications
01-01-1600,31-12-9999,931330,Aid for masonry work
01-01-1600,31-12-9999,931340,Concrete iron and concrete work without special qualifications
01-01-1600,31-12-9999,931390,Other construction work without special qualifications
01-01-1600,31-12-9999,932000,Manuals in manufacturing
01-01-1600,31-12-9999,932010,Manual packing
01-01-1600,31-12-9999,932020,Other industrial work without the use of stationary machines
01-01-1600,31-12-9999,933000,Manual transport and warehousing etc.
01-01-1600,31-12-9999,933010,Warehouse and warehousing
01-01-1600,31-12-9999,933020,Loading and unloading of ships excl. bulk and fish
01-01-1600,31-12-9999,933030,"Loading and unloading of ships, bulk"
01-01-1600,31-12-9999,933040,"Loading and unloading of ships, fish"
01-01-1600,31-12-9999,933050,Handling of luggage and moving goods
01-01-1600,31-12-9999,933060,Aid in the shop etc. (without cash)
01-01-1600,31-12-9999,933090,Aid for transportation work in general
01-01-1600,31-12-9999,999900,undisclosed
01-01-1600,31-12-9999,999999,undisclosed
